model,meta_feature,importance
algrank,skewness,0.17502209590131376
algrank,kurtosis,0.13904529562414994
algrank,betti_0,0.13003714014456005
algrank,entropy,0.12817576604732475
algrank,n_features,0.1158507146546186
algrank,n_samples,0.10731781661677134
algrank,ratio,0.10246210853493404
algrank,betti_1,0.10208906247632765
algrank,mean,0.0
algrank,std,0.0
algrank,var,0.0
algrank,pca_var_1,0.0
algrank,pca_var_2,0.0
algrank,pca_var_3,0.0
algrank,pca_var_4,0.0
algrank,pca_var_5,0.0
algrank,pca_sum_var,0.0
algrank,avg_mutual_info,0.0
algrank,persistent_entropy_h0,0.0
algrank,persistent_entropy_h1,0.0
ari_surrogate,kurtosis,0.16490023175665147
ari_surrogate,skewness,0.1622349232936122
ari_surrogate,betti_0,0.13547954813623217
ari_surrogate,n_samples,0.13065648403640798
ari_surrogate,n_features,0.11586464205381854
ari_surrogate,betti_1,0.1136423119462583
ari_surrogate,entropy,0.10589153872725507
ari_surrogate,ratio,0.07133032004976424
ari_surrogate,mean,0.0
ari_surrogate,std,0.0
ari_surrogate,var,0.0
ari_surrogate,pca_var_1,0.0
ari_surrogate,pca_var_2,0.0
ari_surrogate,pca_var_3,0.0
ari_surrogate,pca_var_4,0.0
ari_surrogate,pca_var_5,0.0
ari_surrogate,pca_sum_var,0.0
ari_surrogate,avg_mutual_info,0.0
ari_surrogate,persistent_entropy_h0,0.0
ari_surrogate,persistent_entropy_h1,0.0
cvisel,skewness,0.18035787479208426
cvisel,kurtosis,0.13886643544536711
cvisel,betti_0,0.1267512099904277
cvisel,entropy,0.12280240440798641
cvisel,n_features,0.1198922523404147
cvisel,ratio,0.10722080547854525
cvisel,betti_1,0.10493987465073654
cvisel,n_samples,0.09916914289443801
cvisel,mean,0.0
cvisel,std,0.0
cvisel,var,0.0
cvisel,pca_var_1,0.0
cvisel,pca_var_2,0.0
cvisel,pca_var_3,0.0
cvisel,pca_var_4,0.0
cvisel,pca_var_5,0.0
cvisel,pca_sum_var,0.0
cvisel,avg_mutual_info,0.0
cvisel,persistent_entropy_h0,0.0
cvisel,persistent_entropy_h1,0.0
