iteration,dataset,algorithm,n_clusters,surrogate_ari,internal_fitness
0,dataset_88,kmeans,2,0.6764205557931313,0.5514205557931313
1,dataset_88,kmeans,3,0.6764205557931313,0.5664205557931313
2,dataset_88,kmeans,4,0.6764205557931313,0.5814205557931313
3,dataset_88,kmeans,5,0.6764205557931313,0.5964205557931314
4,dataset_88,kmeans,6,0.6764205557931313,0.6114205557931314
5,dataset_88,kmeans,7,0.6764205557931313,0.6264205557931313
6,dataset_88,kmeans,8,0.6764205557931313,0.6414205557931313
7,dataset_88,kmeans,9,0.6764205557931313,0.6564205557931313
8,dataset_88,kmeans,10,0.6764205557931313,0.6714205557931313
9,dataset_88,gmm,2,0.6764205557931313,0.5514205557931313
10,dataset_88,gmm,3,0.6764205557931313,0.5664205557931313
11,dataset_88,gmm,4,0.6764205557931313,0.5814205557931313
12,dataset_88,gmm,5,0.6764205557931313,0.5964205557931314
13,dataset_88,gmm,6,0.6764205557931313,0.6114205557931314
14,dataset_88,gmm,7,0.6764205557931313,0.6264205557931313
15,dataset_88,gmm,8,0.6764205557931313,0.6414205557931313
16,dataset_88,gmm,9,0.6764205557931313,0.6564205557931313
17,dataset_88,gmm,10,0.6764205557931313,0.6714205557931313
18,dataset_88,minibatch_kmeans,2,0.6764205557931313,0.5414205557931313
19,dataset_88,minibatch_kmeans,3,0.6764205557931313,0.5564205557931313
20,dataset_88,minibatch_kmeans,4,0.6764205557931313,0.5714205557931313
21,dataset_88,minibatch_kmeans,5,0.6764205557931313,0.5864205557931313
22,dataset_88,minibatch_kmeans,6,0.6764205557931313,0.6014205557931314
23,dataset_88,minibatch_kmeans,7,0.6764205557931313,0.6164205557931313
24,dataset_88,minibatch_kmeans,8,0.6764205557931313,0.6314205557931313
25,dataset_88,minibatch_kmeans,9,0.6764205557931313,0.6464205557931313
26,dataset_88,minibatch_kmeans,10,0.6764205557931313,0.6614205557931313
