dataset,n_samples,n_features,n_classes,CLM,split
dataset_70,5991,62,2,0.9099029411823983,train
dataset_12,8955,60,6,0.8968305861647357,train
dataset_51,5432,57,4,0.8965801633787102,train
dataset_35,1506,23,7,0.8935366654674107,train
dataset_02,406,99,7,0.8820500159356355,train
dataset_34,7592,6,10,0.8806418636850666,train
dataset_53,6785,83,3,0.8734141850044257,train
dataset_56,7754,36,7,0.8598431609678,train
dataset_44,3948,87,11,0.8501767096006623,train
dataset_54,1491,64,3,0.8390170598292896,train
dataset_89,2711,38,8,0.8331538117837715,train
dataset_08,8058,85,6,0.8169556322467001,train
dataset_81,7977,33,5,0.814589637924207,train
dataset_13,5316,92,8,0.7909808334163247,train
dataset_63,8364,11,7,0.7881278820469856,train
dataset_74,402,41,8,0.7779052999102224,train
dataset_36,6976,27,8,0.7724659580496751,train
dataset_68,5372,51,7,0.7676916751806105,train
dataset_26,9989,15,8,0.7545854902726206,train
dataset_52,2053,38,8,0.7468522739880582,train
dataset_71,5735,89,9,0.7446284723584262,train
dataset_77,4589,11,5,0.7438781669481782,train
dataset_95,2186,33,10,0.743644728565012,train
dataset_93,6746,47,6,0.735804487435011,train
dataset_03,5334,74,4,0.713635335194782,train
dataset_87,9539,22,4,0.7117967573203093,train
dataset_76,9158,57,7,0.7113355193915603,train
dataset_92,7298,20,11,0.6991984861617062,train
dataset_10,2990,14,2,0.695215884902955,train
dataset_75,4418,54,5,0.6942801547626652,train
dataset_39,7726,27,11,0.6768594304143608,train
dataset_46,2198,28,10,0.6601421589525661,train
dataset_88,4482,7,11,0.6409192529435142,val
dataset_82,397,31,3,0.6299395576572197,val
dataset_21,4836,93,4,0.6211267289362322,val
dataset_31,1863,22,2,0.6178095359641076,val
dataset_09,1063,4,4,0.6128585590422708,val
dataset_04,6177,55,10,0.6109670328317182,val
dataset_55,3781,44,8,0.6103829836845356,val
dataset_29,9755,35,3,0.6061592180237727,val
dataset_94,9761,95,8,0.5821834421285121,val
dataset_49,3504,85,2,0.5709669150943253,val
dataset_66,6728,20,11,0.5678759840318514,val
dataset_18,7092,45,11,0.5540624523568232,val
dataset_48,1695,21,5,0.5504523763069143,val
dataset_28,3827,40,11,0.545960517578481,val
dataset_42,5730,39,10,0.531286220785678,val
dataset_96,8538,96,6,0.5302226092005808,val
dataset_90,859,67,11,0.513605492374701,val
dataset_25,6115,51,7,0.5011738878471177,val
dataset_40,9101,78,4,0.488917420179493,val
dataset_19,1878,10,7,0.4825976643544292,val
dataset_61,4937,51,11,0.44928151306090114,val
dataset_01,4688,23,6,0.43839589151246916,val
dataset_24,3357,4,3,0.4320986193361426,val
dataset_79,8204,30,8,0.4260186109790899,val
dataset_64,6055,10,2,0.4247000615540637,val
dataset_83,7325,67,11,0.4047914791365399,val
dataset_60,898,24,7,0.4005043546877135,val
dataset_86,9000,51,9,0.4003911579605952,val
dataset_47,8194,96,5,0.3900175285888464,val
dataset_85,6487,64,2,0.3894563877210599,val
dataset_37,6064,57,11,0.3845526022634954,val
dataset_17,6574,97,10,0.384266527078844,val
dataset_23,6868,5,9,0.374951379372118,val
dataset_20,3442,19,11,0.37424643795249224,test
dataset_65,7592,70,5,0.36631957245928315,test
dataset_62,1054,23,11,0.35893875446589985,test
dataset_45,863,92,8,0.349260585832013,test
dataset_14,6219,53,2,0.31350111522227264,test
dataset_27,2893,72,3,0.303748812261937,test
dataset_72,5131,25,6,0.30301107478131273,test
dataset_58,1836,36,10,0.30090680406274184,test
dataset_50,3963,69,9,0.2923379307546558,test
dataset_16,7774,34,3,0.29122147258714404,test
dataset_15,1957,26,4,0.29000522474946744,test
dataset_32,9921,51,9,0.28130357523921445,test
dataset_05,7921,36,6,0.27013435314067613,test
dataset_06,7235,43,9,0.27011578065887604,test
dataset_67,5449,36,7,0.25851165323056724,test
dataset_22,1259,63,9,0.25741027270207223,test
dataset_41,5775,75,3,0.2439694408304797,test
dataset_91,3011,52,6,0.24208756937249232,test
dataset_80,3131,24,9,0.23921917583434987,test
dataset_38,9674,36,8,0.2252075277849156,test
dataset_57,7480,71,4,0.21813922657997803,test
dataset_69,1907,79,6,0.20740399563342354,test
dataset_78,2527,30,4,0.20701438183524956,test
dataset_33,5792,83,2,0.20008972659866522,test
dataset_84,2130,72,4,0.1989399297202382,test
dataset_07,1684,42,2,0.1947243813695136,test
dataset_30,5650,12,11,0.18576681779439824,test
dataset_59,3896,17,11,0.1848250124611143,test
dataset_43,4613,41,9,0.17647916125871815,test
dataset_11,7608,95,5,0.16585006060776789,test
dataset_73,3710,33,6,0.15425203018517383,test
