model,meta_feature,importance
algrank,skewness,0.1759175015709129
algrank,kurtosis,0.13869078275350805
algrank,betti_0,0.12955750508427982
algrank,entropy,0.12817576604732472
algrank,n_features,0.11622868793581768
algrank,n_samples,0.1073178166167713
algrank,ratio,0.10246210853493401
algrank,betti_1,0.10164983145645144
algrank,mean,0.0
algrank,std,0.0
algrank,var,0.0
algrank,pca_var_1,0.0
algrank,pca_var_2,0.0
algrank,pca_var_3,0.0
algrank,pca_var_4,0.0
algrank,pca_var_5,0.0
algrank,pca_sum_var,0.0
algrank,avg_mutual_info,0.0
algrank,persistent_entropy_h0,0.0
algrank,persistent_entropy_h1,0.0
ari_surrogate,kurtosis,0.16568962062795947
ari_surrogate,skewness,0.16223120323362697
ari_surrogate,betti_0,0.13475363931843834
ari_surrogate,n_samples,0.13073088180279654
ari_surrogate,n_features,0.1157611822557787
ari_surrogate,betti_1,0.11362765338824383
ari_surrogate,entropy,0.10576897698421425
ari_surrogate,ratio,0.07143684238894199
ari_surrogate,mean,0.0
ari_surrogate,std,0.0
ari_surrogate,var,0.0
ari_surrogate,pca_var_1,0.0
ari_surrogate,pca_var_2,0.0
ari_surrogate,pca_var_3,0.0
ari_surrogate,pca_var_4,0.0
ari_surrogate,pca_var_5,0.0
ari_surrogate,pca_sum_var,0.0
ari_surrogate,avg_mutual_info,0.0
ari_surrogate,persistent_entropy_h0,0.0
ari_surrogate,persistent_entropy_h1,0.0
cvisel,skewness,0.18035787479208426
cvisel,kurtosis,0.13861246719139886
cvisel,betti_0,0.12656496660418434
cvisel,entropy,0.12280240440798641
cvisel,n_features,0.1198922523404147
cvisel,ratio,0.10691604357378334
cvisel,betti_1,0.1053123614232233
cvisel,n_samples,0.09954162966692479
cvisel,mean,0.0
cvisel,std,0.0
cvisel,var,0.0
cvisel,pca_var_1,0.0
cvisel,pca_var_2,0.0
cvisel,pca_var_3,0.0
cvisel,pca_var_4,0.0
cvisel,pca_var_5,0.0
cvisel,pca_sum_var,0.0
cvisel,avg_mutual_info,0.0
cvisel,persistent_entropy_h0,0.0
cvisel,persistent_entropy_h1,0.0
