dataset,n_samples,n_features,ratio,mean,std,skewness,kurtosis,var,pca_var_1,pca_var_2,pca_var_3,pca_var_4,pca_var_5,pca_sum_var,entropy,avg_mutual_info,betti_0,persistent_entropy_h0,betti_1,persistent_entropy_h1,CLM,split,target_cvi,best_algorithm,algorithm_label_source,best_k,use_scaler,linkage
dataset_70,5991,62,96.62903225806453,0.0,0.0,-0.30110371476633,3.090931317527976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1912959772063245,0.0,13,0.0,6,0.0,0.9099029411823985,train,Calinski-Harabasz,minibatch_kmeans,heuristic_from_cvi,2,1,
dataset_12,8955,60,149.25,0.0,0.0,1.0817143353837986,2.7101640734341985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3626145175471307,0.0,6,0.0,1,0.0,0.8968305861647357,train,Silhouette,kmeans,heuristic_from_cvi,6,1,
dataset_51,5432,57,95.29824561403508,0.0,0.0,0.5567854603473723,1.1016765069763808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4509923522509722,0.0,10,0.0,1,0.0,0.8965801633787102,train,Davies-Bouldin,gmm,heuristic_from_cvi,4,1,
dataset_35,1506,23,65.47826086956522,0.0,0.0,0.2367803620728878,1.4315657079732178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4825496812992487,0.0,10,0.0,5,0.0,0.8935366654674107,train,Davies-Bouldin,gmm,heuristic_from_cvi,7,1,
dataset_02,406,99,4.101010101010101,0.0,0.0,-0.8255552629381524,1.125716742746937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.650462604497742,0.0,6,0.0,4,0.0,0.8820500159356355,train,Calinski-Harabasz,agglomerative,heuristic_from_cvi,7,1,ward
dataset_34,7592,6,1265.3333333333333,0.0,0.0,-0.8256131511931136,3.5456416450551216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.181041805852989,0.0,1,0.0,3,0.0,0.8806418636850666,train,Silhouette,kmeans,heuristic_from_cvi,10,1,
dataset_53,6785,83,81.74698795180723,0.0,0.0,-1.0605993307963213,2.2574239243053067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.149967915221864,0.0,4,0.0,1,0.0,0.8734141850044257,train,Silhouette,kmeans,heuristic_from_cvi,3,1,
dataset_56,7754,36,215.38888888888889,0.0,0.0,0.8788227498598442,3.034282764658811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.817614192158634,0.0,10,0.0,3,0.0,0.8598431609678,train,Davies-Bouldin,gmm,heuristic_from_cvi,7,1,
dataset_44,3948,87,45.37931034482759,0.0,0.0,0.242676028183701,4.6302658957043725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.390298103078292,0.0,6,0.0,6,0.0,0.8501767096006623,train,Silhouette,kmeans,heuristic_from_cvi,10,1,
dataset_54,1491,64,23.296875,0.0,0.0,0.4993741867105092,1.9971689165955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6608338914846514,0.0,6,0.0,1,0.0,0.8390170598292896,train,Davies-Bouldin,gmm,heuristic_from_cvi,3,1,
dataset_89,2711,38,71.34210526315789,0.0,0.0,-1.1505972136900742,2.641531692142519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9010490136933028,0.0,11,0.0,1,0.0,0.8331538117837715,train,Silhouette,kmeans,heuristic_from_cvi,8,1,
dataset_08,8058,85,94.8,0.0,0.0,1.1277836451887862,4.022204554172195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.185517984433946,0.0,12,0.0,2,0.0,0.8169556322467001,train,Davies-Bouldin,gmm,heuristic_from_cvi,6,1,
dataset_81,7977,33,241.72727272727272,0.0,0.0,0.7978623379210121,1.91519266196649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.279930084944729,0.0,5,0.0,1,0.0,0.814589637924207,train,Silhouette,kmeans,heuristic_from_cvi,5,1,
dataset_13,5316,92,57.78260869565217,0.0,0.0,-0.6903861343721373,1.307919639315172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4285108600115519,0.0,1,0.0,7,0.0,0.7909808334163247,train,Calinski-Harabasz,minibatch_kmeans,heuristic_from_cvi,8,1,
dataset_63,8364,11,760.3636363636364,0.0,0.0,-0.7636200787029586,2.159005811655072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7145617828846995,0.0,8,0.0,0,0.0,0.7881278820469856,train,Silhouette,kmeans,heuristic_from_cvi,7,1,
dataset_74,402,41,9.804878048780488,0.0,0.0,-0.7598291763517588,1.6448851490160177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.456855484234973,0.0,5,0.0,7,0.0,0.7779052999102224,train,Silhouette,kmeans,heuristic_from_cvi,8,1,
dataset_36,6976,27,258.3703703703704,0.0,0.0,-0.4698186168971094,4.718790609370292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4156909099232779,0.0,12,0.0,4,0.0,0.7724659580496751,train,Calinski-Harabasz,minibatch_kmeans,heuristic_from_cvi,8,1,
dataset_68,5372,51,105.33333333333331,0.0,0.0,0.0594154359173708,4.232481518257668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8985049593942458,0.0,12,0.0,4,0.0,0.7676916751806105,train,Silhouette,kmeans,heuristic_from_cvi,7,1,
dataset_26,9989,15,665.9333333333333,0.0,0.0,-0.163331955258922,3.533615026041694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.101074747036417,0.0,12,0.0,3,0.0,0.7545854902726206,train,Calinski-Harabasz,minibatch_kmeans,heuristic_from_cvi,8,1,
dataset_52,2053,38,54.026315789473685,0.0,0.0,-0.5010500635246994,4.485842360750871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.544875112847349,0.0,5,0.0,7,0.0,0.7468522739880582,train,Silhouette,kmeans,heuristic_from_cvi,8,1,
dataset_71,5735,89,64.43820224719101,0.0,0.0,0.2684469473337108,4.214688307596457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4210799044580615,0.0,7,0.0,7,0.0,0.7446284723584262,train,Davies-Bouldin,gmm,heuristic_from_cvi,9,1,
