iteration,n_clusters,internal_fitness
0,4,0.817711821438701
1,3,0.7289480554303326
2,3,0.7300671400438283
3,9,0.37360239328235645
4,5,0.8732378919245959
5,5,0.8449209421259987
6,9,0.3663562554331385
7,9,0.37045549242729753
8,3,0.7384965853101008
9,2,0.5779296298721537
10,8,0.5787821655314039
11,6,0.8022069546280205
12,9,0.3694186914343525
13,8,0.5858860351231001
14,3,0.735551352486522
15,5,0.8781738082458218
16,2,0.584498069110656
17,5,0.8484360091326608
18,6,0.825583034694452
19,3,0.7282350056241002
