dataset,n_samples,n_features,n_classes,CLM,split,skewness,kurtosis,shannon_entropy,betti_0,betti_1,best_CVI,ari
dataset_70,5991,62,2,0.9099029411823985,train,-0.30110371476633,3.0909313175279762,3.1912959772063245,13,6,Calinski-Harabasz,0.524571719732987
dataset_12,8955,60,6,0.8968305861647357,train,1.0817143353837986,2.7101640734341985,2.3626145175471307,6,1,Silhouette,0.5954272542520245
dataset_51,5432,57,4,0.8965801633787102,train,0.5567854603473723,1.1016765069763808,1.4509923522509722,10,1,Davies-Bouldin,0.4725038782337343
dataset_35,1506,23,7,0.8935366654674107,train,0.23678036207288788,1.4315657079732178,1.4825496812992487,10,5,Davies-Bouldin,0.5755374190113636
dataset_02,406,99,7,0.8820500159356355,train,-0.8255552629381524,1.125716742746937,2.650462604497742,6,4,Calinski-Harabasz,0.6886016571394071
dataset_34,7592,6,10,0.8806418636850666,train,-0.8256131511931136,3.5456416450551216,3.181041805852989,1,3,Silhouette,0.8038622254192545
dataset_53,6785,83,3,0.8734141850044257,train,-1.0605993307963213,2.2574239243053067,3.149967915221864,4,1,Silhouette,0.8216925001138287
dataset_56,7754,36,7,0.8598431609678,train,0.8788227498598442,3.034282764658811,2.817614192158634,10,3,Davies-Bouldin,0.8594974392761512
dataset_44,3948,87,11,0.8501767096006623,train,0.24267602818370104,4.6302658957043725,2.390298103078292,6,6,Silhouette,0.8060639267214424
dataset_54,1491,64,3,0.8390170598292896,train,0.49937418671050926,1.9971689165954998,0.6608338914846514,6,1,Davies-Bouldin,0.763106810425898
dataset_89,2711,38,8,0.8331538117837715,train,-1.1505972136900742,2.641531692142519,0.9010490136933027,11,1,Silhouette,0.46150440047887953
dataset_08,8058,85,6,0.8169556322467001,train,1.1277836451887862,4.022204554172195,3.185517984433946,12,2,Davies-Bouldin,0.5721515671529769
dataset_81,7977,33,5,0.814589637924207,train,0.7978623379210121,1.9151926619664899,2.279930084944729,5,1,Silhouette,0.6248461257985547
dataset_13,5316,92,8,0.7909808334163247,train,-0.6903861343721373,1.307919639315172,0.4285108600115519,1,7,Calinski-Harabasz,0.35636609875148084
dataset_63,8364,11,7,0.7881278820469856,train,-0.7636200787029586,2.159005811655072,0.7145617828846995,8,0,Silhouette,0.6592916824821022
dataset_74,402,41,8,0.7779052999102224,train,-0.7598291763517588,1.6448851490160177,2.456855484234973,5,7,Silhouette,0.5967083654924581
dataset_36,6976,27,8,0.7724659580496751,train,-0.46981861689710946,4.718790609370292,0.41569090992327795,12,4,Calinski-Harabasz,0.8454342893381792
dataset_68,5372,51,7,0.7676916751806105,train,0.05941543591737086,4.232481518257668,0.8985049593942458,12,4,Silhouette,0.9649724547529042
dataset_26,9989,15,8,0.7545854902726206,train,-0.16333195525892208,3.533615026041694,2.101074747036417,12,3,Calinski-Harabasz,0.6780834262769575
dataset_52,2053,38,8,0.7468522739880582,train,-0.5010500635246994,4.485842360750871,2.544875112847349,5,7,Silhouette,0.5194267440287569
dataset_71,5735,89,9,0.7446284723584262,train,0.2684469473337108,4.214688307596457,2.4210799044580615,7,7,Davies-Bouldin,0.3295125326427575
dataset_77,4589,11,5,0.7438781669481782,train,-0.8652147344350996,1.7462802355441434,1.0952348593277352,4,7,Davies-Bouldin,0.9287574645520453
dataset_95,2186,33,10,0.743644728565012,train,-0.49885284351547643,4.570235993959911,2.6077555861773614,6,6,Silhouette,0.9249986863894883
dataset_93,6746,47,6,0.735804487435011,train,-0.3207315760951399,3.157368967662603,1.1354721712400804,13,1,Silhouette,0.4720333142326839
dataset_03,5334,74,4,0.713635335194782,train,-0.10543203787911382,4.229760620656251,1.40873906429373,4,0,Silhouette,0.7728795637125203
dataset_87,9539,22,4,0.7117967573203093,train,0.6844223073432325,4.584365199693973,2.714123355865875,14,3,Davies-Bouldin,0.3512954920210431
dataset_76,9158,57,7,0.7113355193915603,train,-0.7207829228199366,2.2720138998874555,2.4138619870463653,3,7,Silhouette,0.413026493698292
dataset_92,7298,20,11,0.6991984861617062,train,0.0341626521926679,1.440207698110707,3.0325925725319514,7,7,Davies-Bouldin,0.447430192478814
dataset_10,2990,14,2,0.695215884902955,train,0.22179496526890197,1.9117406501677667,2.4385999661310644,8,2,Calinski-Harabasz,0.5002558838508122
